




============================================================================
============================================================================
O que irá executar a seguir: executar_algoritmos
============================================================================
============================================================================













============================================================================
Função: Beale
============================================================================
parameter;GEOreal1_P;AGEOreal1_P;
13;1,5;1,3618398813378476;
14;1,5;1,5001437709872834;
15;1,5;1,6586468386845887;
16;1,5;1,751531826677851;
17;1,5;1,780139993635665;
18;1,5;1,800861150505551;
19;1,5;1,7577427072935072;
20;1,5;1,459728483118725;
21;1,5;1,4067182459491552;
22;1,5;1,2003764481820798;
23;1,5;1,1646888253394951;
24;1,5;1,3494700173015535;
25;1,5;0,9829128983255236;
26;1,5;1,2149850719985098;
27;1,5;1,2204758502576454;
28;1,5;1,2136917626012094;
29;1,5;1,0975617553653731;
30;1,5;1,2497482189705835;
31;1,5;1,300119116847736;
32;1,5;1,5708663091361308;
33;1,5;1,911102163233651;
34;1,5;1,9982120722731875;
35;1,5;1,9679007377621245;
36;1,5;2,0350841271156597;
37;1,5;1,6931068625326218;
38;1,5;1,4217277615822188;
39;1,5;1,480743590300482;
40;1,5;1,4427727154852057;
41;1,5;1,393718649162394;
42;1,5;1,5762492347157546;
43;1,5;1,233643083509781;
44;1,5;1,423711045026418;
45;1,5;1,431283581635544;
46;1,5;1,2643735919338408;
47;1,5;1,2403337512270058;
48;1,5;1,1464070853015114;
49;1,5;1,1738718122600889;
50;1,5;1,2994071687282391;
51;1,5;1,3073705870617531;
52;1,5;1,2375750989129586;
53;1,5;1,3778409489816716;
54;1,5;1,4784655401484683;
55;1,5;1,266888073443056;
56;1,5;1,1681023370619612;
57;1,5;1,1394001240026224;
58;1,5;0,9665911157037943;
59;1,5;1,0278688063875696;
60;1,5;1,2855332806884465;
61;1,5;1,477696415380346;
62;1,5;1,4647668758525303;
63;1,5;1,3645407957668085;
64;1,5;1,2538364152107477;
65;1,5;1,256036512467095;
66;1,5;1,239597956510118;
67;1,5;1,0969846231599576;
68;1,5;1,3553547020141041;
69;1,5;1,4383109460865162;
70;1,5;1,149568415978069;
71;1,5;1,3504365746675282;
72;1,5;1,194637426792635;
73;1,5;1,1922609751564786;
74;1,5;1,143986588407011;
75;1,5;1,394543631825715;
76;1,5;1,1315203563237701;
77;1,5;1,1562009378274856;
78;1,5;1,3720916014916384;
79;1,5;1,6214116374907503;
80;1,5;1,3781857253014;
81;1,5;1,6206572526315146;
82;1,5;1,4148315568547154;
83;1,5;1,333540713674464;
84;1,5;1,4349305326305644;
85;1,5;1,2270508663457123;
86;1,5;1,0320265919995617;
87;1,5;1,1034996013033933;
88;1,5;1,0999931219793646;
89;1,5;1,1461508509456917;
90;1,5;1,3695805054968493;
91;1,5;1,519187835167468;
92;1,5;1,371307405524371;
93;1,5;1,2884967650405141;
94;1,5;1,3189258692174737;
95;1,5;1,351989774159666;
96;1,5;1,309226838535497;
97;1,5;1,164436044277111;
98;1,5;1,2505332231985793;
99;1,5;1,080312000267548;
100;1,5;1,187206350927121;
101;1,5;1,3119312837394064;
102;1,5;1,5014455863277336;
103;1,5;1,2921974550632502;
104;1,5;1,2819284708483414;
105;1,5;1,1993917136493761;
106;1,5;1,3435095988437964;
107;1,5;1,3293452428817658;
108;1,5;1,3343428346390462;
109;1,5;1,4173285452529762;
110;1,5;1,4686449303482514;
111;1,5;1,397458280071433;
112;1,5;1,50275302078934;
113;1,5;1,5547073530149171;
114;1,5;1,1870850694386952;
115;1,5;1,21965306617356;
116;1,5;1,2553626371850202;
117;1,5;1,2059758450765383;
118;1,5;1,2975193462024697;
119;1,5;1,1266741202186823;
120;1,5;0,8020002304262819;
121;1,5;0,7933169897879363;
122;1,5;1,0896811489346676;
123;1,5;1,157440319700264;
124;1,5;1,4490304075630676;
125;1,5;1,5972127152787081;
126;1,5;1,151053859455856;
127;1,5;1,1402460261463978;
128;1,5;1,049834972853923;
129;1,5;1,284159721374561;
130;1,5;1,135181567227655;
131;1,5;0,9412754394567318;
132;1,5;0,930630629374031;
133;1,5;0,937408233108607;
134;1,5;1,1947343505989294;
135;1,5;1,1678132043697025;
136;1,5;1,3662559889391812;
137;1,5;1,3231839758820128;
138;1,5;0,9033368873986095;
139;1,5;1,0630891745978972;
140;1,5;1,064061637699375;
141;1,5;1,0541049979103467;
142;1,5;1,073745597244346;
143;1,5;1,111172096836485;
144;1,5;1,2131029505671103;
145;1,5;1,0583742554307873;
146;1,5;0,9077747577920214;
147;1,5;1,1635836304194964;
148;1,5;1,3748161851807041;
149;1,5;1,4355223239299801;
150;1,5;1,4256405312750204;
151;1,5;1,1982494511440065;
152;1,5;1,1651643193872903;
153;1,5;1,3340069632277634;
154;1,5;1,4243862287549296;
155;1,5;1,400993978847976;
156;1,5;1,5106594342085893;
157;1,5;1,36174424878187;
158;1,5;1,320245206264525;
159;1,5;1,2441931443260674;
160;1,5;1,1199213158329506;
161;1,5;0,9366226342814792;
162;1,5;0,8674250165377726;
163;1,5;1,0871040098526925;
164;1,5;1,2167311021652323;
165;1,5;0,8328823103038707;
166;1,5;1,0816453277810656;
167;1,5;1,1551526436718405;
168;1,5;1,2953115979464023;
169;1,5;1,3650918398039993;
170;1,5;1,2061012551715764;
171;1,5;1,2914393611968658;
172;1,5;1,4307529110710075;
173;1,5;1,5862679504630177;
174;1,5;1,683882887137134;
175;1,5;1,252963203386359;
176;1,5;0,9951603032769171;
177;1,5;1,106862590673412;
178;1,5;1,0176378902781669;
179;1,5;1,068576009299245;
180;1,5;1,019854638060209;
181;1,5;1,0352433157599692;
182;1,5;1,0581957284323942;
183;1,5;1,2520558148947143;
184;1,5;1,0515329234556825;
185;1,5;0,8849606117596271;
186;1,5;0,8657377958670298;
187;1,5;0,9602861149615953;
188;1,5;0,9511961279078424;
189;1,5;1,1564130986606533;
190;1,5;1,1187098055899591;
191;1,5;1,214845126025595;
192;1,5;1,0565112443063895;
193;1,5;1,0525609552903292;
194;1,5;1,2214401417745557;
195;1,5;1,1544670623816724;
196;1,5;1,6206596843114562;
197;1,5;1,5888857148642448;
198;1,5;1,3383858417514247;
199;1,5;1,3298872669243722;
200;1,5;1,221192515263467;
201;1,5;1,390377391846892;
202;1,5;1,4561172699953624;
203;1,5;1,1794895689992162;
204;1,5;1,0808236142119443;
205;1,5;1,1509681733978114;
206;1,5;1,1628882425448002;
207;1,5;1,204516893037543;
208;1,5;1,2875996383114776;
209;1,5;1,1858694042153268;
210;1,5;1,0852534138308558;
211;1,5;1,2443427402930747;
212;1,5;1,2522639372948492;
213;1,5;1,3547050100089142;
214;1,5;1,3288771463712055;
215;1,5;1,3284899752072425;
216;1,5;1,1786203246333935;
217;1,5;0,9716498796137499;
218;1,5;0,8972003097770048;
219;1,5;0,9007213870104605;
220;1,5;1,1562316670790938;
221;1,5;1,0145983077400396;
222;1,5;1,2413975598465576;
223;1,5;0,9786837845730878;
224;1,5;0,9069864026698017;
225;1,5;1,1447443241381465;
226;1,5;1,1495957448949783;
227;1,5;1,2608298823864992;
228;1,5;1,2359783691729522;
229;1,5;1,2350855907435772;
230;1,5;1,2592166387952404;
231;1,5;1,17321812515338;
232;1,5;1,1916188673291002;
233;1,5;1,289138401738816;
234;1,5;1,239767283307017;
235;1,5;1,2701667790188436;
236;1,5;1,2828173726741487;
237;1,5;0,9992102028091002;
238;1,5;1,0380301918071457;
239;1,5;1,2425451761553568;
240;1,5;1,3175177946013041;
241;1,5;1,3915738300998581;
242;1,5;1,1660234118416046;
243;1,5;1,1309145362702553;
244;1,5;1,2964084863454874;
245;1,5;1,203199298973856;
246;1,5;0,9874571023880644;
247;1,5;1,2984125242636775;
248;1,5;1,248173930625767;
249;1,5;1,3918085118875467;
250;1,5;1,3580609223744708;
251;1,5;1,3195019761224345;
252;1,5;1,3302742089455082;
253;1,5;1,2214909339770648;
254;1,5;1,2238908690925527;
255;1,5;1,3697749361879954;
256;1,5;1,1491519213733457;
257;1,5;1,245369989755777;
258;1,5;1,3956794854460817;
259;1,5;1,3117861220640392;
260;1,5;1,4112877140665956;
261;1,5;1,19665842256154;
262;1,5;1,5936148352268442;
263;1,5;1,5802402328006098;
264;1,5;1,4660827872528026;
265;1,5;1,4505121272187251;
266;1,5;1,5977115375442386;
267;1,5;1,261286990305973;
268;1,5;1,2518766325032569;
269;1,5;1,1640684996172415;
270;1,5;0,8727993957031146;
271;1,5;0,9919824523245527;
272;1,5;1,2677686120259324;
273;1,5;1,0781954942190393;
274;1,5;1,1138757501763599;
275;1,5;1,0396023505509684;
276;1,5;1,1288553193558821;
277;1,5;1,330895432525711;
278;1,5;1,2078269532555594;
279;1,5;1,2033962218243448;
280;1,5;1,2811281957638159;
281;1,5;1,075688272431433;
282;1,5;0,9787481616647945;
283;1,5;1,146121968246429;
284;1,5;0,97420540278957;
285;1,5;1,1819179350700029;
286;1,5;1,1243816670336437;
287;1,5;0,9933365942631089;
288;1,5;1,0128396675189864;
289;1,5;0,8647639059458202;
290;1,5;0,8527569042430585;
291;1,5;1,0584382226432671;
292;1,5;1,0536719387995566;
293;1,5;0,9439579607554012;
294;1,5;0,9952291939831182;
295;1,5;1,0643838790478326;
296;1,5;1,197769614161415;
297;1,5;1,2297214730058557;
298;1,5;1,0693329566847032;
299;1,5;1,2618199953311797;
300;1,5;1,2661486027324085;
301;1,5;1,1753711702749434;
302;1,5;1,042992074495874;
303;1,5;1,101835820059565;
304;1,5;0,9761060142439254;
305;1,5;0,935756213263309;
306;1,5;1,0005379498572007;
307;1,5;1,147610858420239;
308;1,5;1,1771821857215599;
309;1,5;1,188789001832866;
310;1,5;1,3592146954929385;
311;1,5;1,3434773291795008;
312;1,5;1,3722734182569758;
313;1,5;1,1782638590180714;
314;1,5;0,97075066352207;
315;1,5;1,0500499529588512;
316;1,5;1,1619884635961015;
317;1,5;1,237736596596168;
318;1,5;1,2494309735314364;
319;1,5;1,1015184602963666;
320;1,5;0,9856733011426544;
321;1,5;0,882762557325838;
322;1,5;1,0634834719261506;
323;1,5;0,9839509571541829;
324;1,5;1,0857676735339754;
325;1,5;1,1763342553463616;
326;1,5;1,2028083862876395;
327;1,5;0,9754838560425266;
328;1,5;0,8502169521493073;
329;1,5;0,884331394726066;
330;1,5;0,9993784666698603;
331;1,5;1,2670754349093662;
332;1,5;1,167816058074186;
333;1,5;1,1054209611903083;
334;1,5;0,9891508299587952;
335;1,5;0,9898661804271256;
336;1,5;1,1371828304878275;
337;1,5;1,095847754221525;
338;1,5;1,1329678912869219;
339;1,5;1,1025997263284115;
340;1,5;1,153041400674073;
341;1,5;1,2836557555116326;
342;1,5;0,8365465092563672;
343;1,5;0,9866373970172361;
344;1,5;0,8787293415042735;
345;1,5;1,1364903194229237;
346;1,5;1,3321601097038887;
347;1,5;1,2450099176442155;
348;1,5;1,3203180006948145;
349;1,5;1,2987702165593118;
350;1,5;1,3702439483308182;
351;1,5;1,4089109839810612;
352;1,5;1,4091687479980153;
353;1,5;1,0103180420814002;
354;1,5;0,9294326324214957;
355;1,5;0,888561132438775;
356;1,5;1,0980834103475898;
357;1,5;0,9280678058315306;
358;1,5;0,784434384193363;
359;1,5;0,8422541949730379;
360;1,5;1,068206584012715;
361;1,5;1,3016727062026552;
362;1,5;1,3047282662214577;
363;1,5;1,0324402908772368;
364;1,5;0,8531593431220661;
365;1,5;0,9513155330389568;
366;1,5;1,073318819074892;
367;1,5;1,4739451055636625;
368;1,5;1,392409807827202;
369;1,5;1,4049198032128711;
370;1,5;1,1233928345774302;
371;1,5;1,046881586611655;
372;1,5;0,8433432471906058;
373;1,5;0,9272984333286828;
374;1,5;1,0293196085174474;
375;1,5;1,1216823275283248;
376;1,5;1,1166853307023454;
377;1,5;1,1580619180480376;
378;1,5;1,1116253743247904;
379;1,5;1,2798493537765219;
380;1,5;1,1221536199982682;
381;1,5;1,0221519707665947;
382;1,5;1,0160688646723435;
383;1,5;1,117283043527653;
384;1,5;1,3164626198405467;
385;1,5;1,0678984143353105;
386;1,5;0,9965970398287538;
387;1,5;1,1070692717361814;
388;1,5;1,2081938832552561;
389;1,5;1,0867261218690638;
390;1,5;1,1562721902882722;
391;1,5;1,0847242412948477;
392;1,5;1,1584211884839088;
393;1,5;1,226638512832397;
394;1,5;1,067420454261032;
395;1,5;1,201021428093903;
396;1,5;1,2126614499184603;
397;1,5;1,4411318521133503;
398;1,5;1,6847010740637893;
399;1,5;1,105819436602128;
400;1,5;1,1283001859404875;
401;1,5;1,2623233754671843;
402;1,5;0,9970325639809253;
403;1,5;0,8774280783323031;
404;1,5;0,9678941346349589;
405;1,5;0,9530627508030299;
406;1,5;1,242593080353542;
407;1,5;1,1126011769623678;
408;1,5;1,0675718795254958;
409;1,5;1,159023533131523;
410;1,5;1,3817127131773375;
411;1,5;1,290736057837231;
412;1,5;1,589258629245637;
413;1,5;1,5178442543202053;
414;1,5;1,1950502623911663;
415;1,5;0,9417706528416;
416;1,5;0,8123744244459463;
417;1,5;0,966839938626071;
418;1,5;1,0175566204634188;
419;1,5;1,028365614067819;
420;1,5;1,1141252234039987;
421;1,5;1,1432279829247538;
422;1,5;1,338136406495151;
423;1,5;1,0868071164734174;
424;1,5;1,2729294874787935;
425;1,5;1,1801839486837307;
426;1,5;1,2823337157345231;
427;1,5;1,1698054818158994;
428;1,5;1,0697464742554483;
429;1,5;1,1910810226176047;
430;1,5;1,0619240214108978;
431;1,5;1,0542308341446713;
432;1,5;1,1490213467247656;
433;1,5;1,1516402525700677;
434;1,5;1,3079556920548823;
435;1,5;1,1325477263393289;
436;1,5;1,1712262152696051;
437;1,5;1,3082821924238197;
438;1,5;1,3093744888930596;
439;1,5;1,2726481429243683;
440;1,5;1,3796576210612541;
441;1,5;1,5732081699706193;
442;1,5;1,1688179880680516;
443;1,5;1,2269074815292147;
444;1,5;1,2223954123289573;
445;1,5;0,9719256568434715;
446;1,5;0,8547904533961928;
447;1,5;0,8857489151852261;
448;1,5;0,7873382466831;
449;1,5;0,9191090222577315;
450;1,5;1,1963497895320157;
451;1,5;1,208378596123113;
452;1,5;1,3781700577787581;
453;1,5;1,4037820073735185;
454;1,5;1,1568734482184064;
455;1,5;1,3631177251850561;
456;1,5;0,8827591522915322;
457;1,5;1,099711485430242;
458;1,5;1,318932663188506;
459;1,5;1,4090022001916673;
460;1,5;1,252999256692283;
461;1,5;1,0259754992803727;
462;1,5;1,0491992785106474;
463;1,5;1,2030145047656091;
464;1,5;1,0793053828873576;
465;1,5;0,9548349315893351;
466;1,5;1,106092345844646;
467;1,5;1,1087171262578157;
468;1,5;1,0901085560672763;
469;1,5;1,2453883502193208;
470;1,5;1,577954850085601;
471;1,5;1,1559422949291844;
472;1,5;0,9648097662656092;
473;1,5;0,8786765946860325;
474;1,5;0,9138967659115885;
475;1,5;0,9777243151718609;
476;1,5;0,9352511774217972;
477;1,5;0,8552856903455274;
478;1,5;0,9574907937385307;
479;1,5;0,9258279380713562;
480;1,5;0,9090023677062786;
481;1,5;0,7937877835846643;
482;1,5;0,7506356142204921;
483;1,5;0,8672261267142465;
484;1,5;0,7551108622456153;
485;1,5;0,784703243028234;
486;1,5;0,9419778513646239;
487;1,5;1,003851169623831;
488;1,5;0,9669363892815296;
489;1,5;1,0518103316087442;
490;1,5;0,7540741225193005;
491;1,5;0,8279068850461611;
492;1,5;0,8030052145083834;
493;1,5;0,9413146093855808;
494;1,5;0,9401297945810726;
495;1,5;1,0989465303444519;
496;1,5;1,0817220040665598;
497;1,5;1,1900928409903186;
498;1,5;1,2661078810807775;
499;1,5;1,2503132279866562;
500;1,5;1,3671719036511008;
501;1,5;1,5169446422484991;
502;1,5;1,077082729702688;
503;1,5;1,0361037097357935;
504;1,5;0,9562705471709442;
505;1,5;1,0135738518369841;
506;1,5;0,8930433154512587;
507;1,5;0,9643850537735775;
508;1,5;1,0636376044919187;
509;1,5;1,271901635272411;
510;1,5;1,2618635540754235;
511;1,5;1,250392561870672;
512;1,5;1,1127184241549601;
513;1,5;1,265671272619506;
514;1,5;1,1129168871594008;
515;1,5;0,8548434441818861;
516;1,5;0,9681895477981972;
517;1,5;0,9309664855599906;
518;1,5;1,0895399013215368;
519;1,5;0,9937949006545487;
520;1,5;1,113847695575296;
521;1,5;1,2734688065781437;
522;1,5;1,266403195439921;
523;1,5;1,344923436479498;
524;1,5;0,901629485653811;
525;1,5;1,114522611457122;
526;1,5;1,1651851785135101;
527;1,5;1,4336187573694912;
528;1,5;1,569237548425186;
529;1,5;1,5683669585264226;
530;1,5;1,4788846941435707;
531;1,5;1,2554913589955052;
532;1,5;1,441669494248009;
533;1,5;1,5129232750917023;
534;1,5;1,484739403135689;
535;1,5;1,3497614645315823;
536;1,5;1,1852014577772205;
537;1,5;1,3082877739159593;
538;1,5;1,241319370553627;
539;1,5;1,2415633863869224;
540;1,5;1,228350083043834;
541;1,5;1,231237725496091;
542;1,5;1,118865028991659;
543;1,5;1,2512748952882702;
544;1,5;1,2211173343747777;
545;1,5;1,2361659619120224;
546;1,5;1,2823107658519883;
547;1,5;1,2305042618349022;
548;1,5;0,9583373210969289;
549;1,5;1,1365191677263644;
550;1,5;1,2773206365965217;
551;1,5;1,2956784326217394;
552;1,5;1,1300365620256183;
553;1,5;1,271758425201557;
554;1,5;1,2413233664259686;
555;1,5;1,2665292739048715;
556;1,5;1,3257369947422253;
557;1,5;1,3354983013784425;
558;1,5;1,4488870198146482;
559;1,5;0,948145797356378;
560;1,5;1,1177075018027682;
561;1,5;1,372067088147459;
562;1,5;1,2618740784879465;
563;1,5;0,9494604824989413;
564;1,5;1,1320788357810492;
565;1,5;1,0930600653640898;
566;1,5;1,0695448884369105;
567;1,5;1,248824795778818;
568;1,5;1,2261950573842875;
569;1,5;1,2997490826272577;
570;1,5;1,016471823285498;
571;1,5;1,0025808711072945;
572;1,5;0,9685727558306579;
573;1,5;0,9805348030709348;
574;1,5;0,7608380880287788;
575;1,5;0,9351670270565442;
576;1,5;0,9204202184124186;
577;1,5;1,1786252653595761;
578;1,5;1,2549760186379335;
579;1,5;1,2173841435941024;
580;1,5;1,0262589155310087;
581;1,5;1,11594992835777;
582;1,5;1,1002448927758857;
583;1,5;1,0917231896902686;
584;1,5;1,2821396264398779;
585;1,5;1,182333785195798;
586;1,5;1,0499756463448702;
587;1,5;1,0557134330975466;
588;1,5;0,7849406876199476;
589;1,5;1,0416750537616153;
590;1,5;1,220466373793587;
591;1,5;1,2108976202211954;
592;1,5;1,2925217940645386;
593;1,5;1,3541783334456716;
594;1,5;1,5152744754419296;
595;1,5;1,29267769693984;
596;1,5;1,3010050304456526;
597;1,5;1,326976496472659;
598;1,5;1,3943889183798903;
599;1,5;0,9331344887318979;
600;1,5;0,9102806084404577;
601;1,5;1,1029303274865114;
602;1,5;1,0713441925211014;
603;1,5;1,1119975683023546;
604;1,5;0,9284127561268011;
605;1,5;0,9946809297900338;
606;1,5;1,106195904342869;
607;1,5;0,9871301536709359;
608;1,5;1,16289967919981;
609;1,5;0,8516141589921179;
610;1,5;0,9250682611475854;
611;1,5;0,963604307284129;
612;1,5;0,8837178500827794;
613;1,5;0,8760675628254955;
614;1,5;0,9846634702667326;
615;1,5;1,1243475461280208;
616;1,5;1,2401456990339363;
617;1,5;1,2518579267275627;
618;1,5;1,2273896837041987;
619;1,5;1,217118157580077;
620;1,5;0,8755053170256074;
621;1,5;1,1310315312618593;
622;1,5;1,1939777300264993;
623;1,5;1,3554118109801527;
624;1,5;1,3542179744770886;
625;1,5;1,1378213690441363;
626;1,5;1,3759299674751873;
627;1,5;1,357771399399486;
628;1,5;0,931637665592568;
629;1,5;0,9375083997246062;
630;1,5;0,8414688388357602;
631;1,5;0,9380635444258341;
632;1,5;1,0932522292026006;
633;1,5;1,0320991493090776;
634;1,5;1,0447072955544752;
635;1,5;1,1228541078480627;
636;1,5;1,153415476802091;
637;1,5;1,2314713271067783;
638;1,5;1,4033837946150949;
639;1,5;1,3339981893123867;
640;1,5;1,20568381001057;
641;1,5;1,170250667304622;
642;1,5;1,2973442348601951;
643;1,5;1,353214228323693;
644;1,5;1,2238222823131912;
645;1,5;0,9664028591272356;
646;1,5;0,9216769393728875;
647;1,5;0,9860038886218447;
648;1,5;0,9864766118914264;
649;1,5;1,0874880047895645;
650;1,5;1,1135679357400394;
651;1,5;1,3824701766728158;
652;1,5;1,5783739756893982;
653;1,5;1,768229386867186;
654;1,5;1,8190159452156178;
655;1,5;1,9392030333355819;
656;1,5;1,9307646167559727;
657;1,5;1,7118552080950893;
658;1,5;1,7188434434912423;
659;1,5;0,7528225160611478;
660;1,5;0,8394502995773104;
661;1,5;1,0548954499461556;
662;1,5;1,0303307161644104;
663;1,5;1,1430312834209693;
664;1,5;1,2441713392232456;
665;1,5;1,1766569727494967;
666;1,5;1,2626099033856746;
667;1,5;1,1427814200917064;
668;1,5;1,0442717936885602;
669;1,5;0,9971905622315146;
670;1,5;0,9936795595745024;
671;1,5;0,9273718969288461;
672;1,5;1,03075299002374;
673;1,5;1,0617392013099227;
674;1,5;1,0007483452023485;
675;1,5;1,1513245618816381;
676;1,5;1,139973238044986;
677;1,5;1,16646848743856;
678;1,5;1,0877511302828908;
679;1,5;0,9915899535287634;
680;1,5;1,0067938000169803;
681;1,5;1,101598146400517;
682;1,5;0,9722097441843034;
683;1,5;0,9077936912846724;
684;1,5;1,0545069319910112;
685;1,5;1,1984137582161762;
686;1,5;1,1517938080133137;
687;1,5;0,964202504230413;
688;1,5;1,158482568853069;
689;1,5;1,2288972247705865;
690;1,5;1,2841092161967775;
691;1,5;1,4063558325786738;
692;1,5;1,0680118120277375;
693;1,5;1,2456543817834183;
694;1,5;1,349248524032262;
695;1,5;1,2218367704913646;
696;1,5;1,057728634303558;
697;1,5;1,1134538401692398;
698;1,5;0,8635875006806036;
699;1,5;0,9642077816153382;
700;1,5;1,1697199089400387;
701;1,5;1,3303502673337348;
702;1,5;1,189043475680845;
703;1,5;1,179420279739108;
704;1,5;1,3767322484592428;
705;1,5;1,615492323425021;
706;1,5;1,3508648548695943;
707;1,5;1,3676938722679395;
708;1,5;1,389533374105789;
709;1,5;1,1399840440384785;
710;1,5;1,2059010206456142;
711;1,5;1,039149902085268;
712;1,5;1,24584729559487;
713;1,5;1,1276908585348835;
714;1,5;1,2338404783206522;
715;1,5;1,389685819518417;
716;1,5;1,3029046963304265;
717;1,5;1,084870688416246;
718;1,5;1,3211035287035626;
719;1,5;1,058997461586194;
720;1,5;1,181889443086523;
721;1,5;1,184967986544076;
722;1,5;1,1259350549816618;
723;1,5;1,2608462467902972;
724;1,5;1,4504757159200254;
725;1,5;1,1435081451789741;
726;1,5;1,1119894947168312;
727;1,5;1,1943703965303336;
728;1,5;0,9650664361848378;
729;1,5;1,063328467858698;
730;1,5;1,2760212849555457;
731;1,5;1,3553236848266397;
732;1,5;1,3684731343564969;
733;1,5;1,139751185161971;
734;1,5;1,1061929939152861;
735;1,5;1,2792617049748236;
736;1,5;1,160894442594853;
737;1,5;1,17580224021634;
738;1,5;1,136566694112528;
739;1,5;1,1831386185296924;
740;1,5;1,3126876248684236;
741;1,5;1,2218441754735876;
742;1,5;1,030233538957928;
743;1,5;1,1878637143568975;
744;1,5;1,3949270202418067;
745;1,5;1,6569008887062802;
746;1,5;1,5670189983465659;
747;1,5;1,296969944919897;
748;1,5;1,2282424328282717;
749;1,5;1,5089930485352874;
750;1,5;1,2632765609689194;
751;1,5;1,364776998942031;
752;1,5;1,477631032303239;
753;1,5;1,4857855989132138;
